,Atendimento,Grupo,Cidade,Indice,Saude,Educacao,Saneamento,Receita
0,0.6332,4,Cachoeira da Prata,0.656,0.687,0.797,0.964,0.198
1,0.6588,4,Lobato,0.646,0.575,0.955,0.925,0.234
2,0.575,4,Bom Jesus do Norte,0.64,0.61,0.762,0.875,0.131
3,0.8326,4,guas de So Pedro,0.633,0.974,0.869,0.991,0.477
4,0.5108,4,Cataguases,0.633,0.554,0.686,0.921,0.074
5,0.5742,4,Cedro de So Joo,0.626,0.607,0.77,0.742,0.117
6,0.5568,4,Bom Jesus do Itabapoana,0.626,0.528,0.802,0.857,0.124
7,0.5872,4,Volta Redonda,0.624,0.695,0.676,0.982,0.194
8,0.532,4,Fernandpolis,0.624,0.459,0.81,0.963,0.122
9,0.5842,4,Itapu,0.623,0.584,0.79,0.904,0.173
10,0.584,4,Barro Preto,0.622,0.636,0.758,0.732,0.132
11,0.6612,4,Ipena,0.62,0.798,0.723,0.873,0.264
12,0.5422,4,Votuporanga,0.62,0.529,0.756,0.971,0.141
13,0.531,4,Arax,0.619,0.462,0.801,0.97,0.129
14,0.5742,4,Siderpolis,0.619,0.679,0.697,0.711,0.119
15,0.7432,4,Rio das Flores,0.618,0.846,0.84,0.78,0.344
16,0.5168,4,So Loureno,0.618,0.491,0.743,0.98,0.116
17,0.5118,4,Nazar da Mata,0.616,0.508,0.738,0.797,0.067
18,0.5548,4,Paraba do Sul,0.613,0.63,0.686,0.868,0.142
19,0.5488,4,So Jos da Lapa,0.612,0.633,0.671,0.868,0.136
20,0.586,4,Salinas da Margarida,0.61,0.508,0.892,0.648,0.13
21,0.5234,4,Jardim do Serid,0.61,0.528,0.741,0.753,0.079
22,0.5516,4,Urnia,0.609,0.553,0.756,0.85,0.14
23,0.6566,4,Comendador Levy Gasparian,0.608,0.753,0.748,0.894,0.281
24,0.5794,4,So Ludgero,0.607,0.54,0.825,0.816,0.167
25,0.5988,4,Altaneira,0.607,0.586,0.841,0.605,0.14
26,0.6142,4,Jaborandi,0.606,0.672,0.745,0.917,0.237
27,0.603,4,Pracinha,0.606,0.581,0.816,0.908,0.221
28,0.5276,4,Votorantim,0.606,0.58,0.667,0.971,0.144
29,0.4928,4,Santa Cruz,0.606,0.667,0.533,0.825,0.064
30,0.5718,4,Descoberto,0.605,0.584,0.763,0.831,0.165
31,0.5488,4,Riachuelo,0.605,0.572,0.745,0.723,0.11
32,0.5222,4,Cajuru,0.604,0.693,0.551,0.903,0.123
33,0.547,4,So Bento Abade,0.603,0.57,0.718,0.92,0.159
34,0.5886,4,Agudos,0.602,0.617,0.744,0.953,0.221
35,0.5398,4,Bady Bassitt,0.6,0.522,0.748,0.942,0.159
36,0.5396,4,Regente Feij,0.6,0.532,0.739,0.924,0.156
37,0.5854,4,Iracema,0.599,0.569,0.83,0.584,0.129
38,0.4896,4,Guarabira,0.598,0.569,0.619,0.831,0.072
39,0.6402,4,Vitria,0.597,0.591,0.859,0.986,0.301
40,0.606,4,Lucrcia,0.597,0.554,0.857,0.782,0.208
41,0.5958,4,Floresta,0.597,0.62,0.792,0.623,0.155
42,0.5176,4,Tagua,0.597,0.513,0.716,0.914,0.13
43,0.6406,4,Iguaba Grande,0.596,0.791,0.693,0.714,0.235
44,0.5608,4,Alexandria,0.596,0.671,0.671,0.657,0.12
45,0.594,4,Tarum,0.595,0.604,0.763,0.947,0.236
46,0.5226,4,Pedro Leopoldo,0.595,0.621,0.625,0.843,0.121
47,0.5642,4,Lus Gomes,0.595,0.548,0.817,0.517,0.091
48,0.5442,4,Brao do Norte,0.595,0.522,0.787,0.662,0.103
49,0.5086,4,Monte Santo de Minas,0.595,0.557,0.667,0.806,0.095
50,0.5264,4,Piraju,0.594,0.474,0.77,0.913,0.144
51,0.5036,4,Araatuba,0.594,0.413,0.78,0.978,0.132
52,0.5602,4,Lagoa Santa,0.594,0.572,0.752,0.775,0.153
53,0.5542,4,Campo do Brito,0.594,0.547,0.79,0.584,0.097
54,0.613,4,Luzerna,0.593,0.549,0.885,0.682,0.197
55,0.5018,4,Pirapozinho,0.593,0.518,0.676,0.937,0.121
56,0.5372,4,Florestal,0.593,0.685,0.592,0.802,0.132
57,0.5312,4,Marlia,0.593,0.445,0.799,0.972,0.168
58,0.5324,4,Ors,0.593,0.542,0.745,0.654,0.088
59,0.551,4,Cordeiro,0.592,0.575,0.715,0.899,0.175
60,0.5792,4,Macau,0.592,0.576,0.776,0.824,0.192
61,0.5248,4,Dourado,0.592,0.587,0.649,0.94,0.152
62,0.5128,4,Forquilha,0.592,0.527,0.712,0.739,0.086
63,0.491,4,Ibicara,0.592,0.589,0.6,0.811,0.077
64,0.4882,4,Timteo,0.592,0.571,0.595,0.952,0.109
65,0.5172,4,So Paulo do Potengi,0.592,0.557,0.69,0.738,0.092
66,0.4792,4,Propri,0.591,0.568,0.592,0.859,0.076
67,0.5098,4,Tubaro,0.591,0.481,0.748,0.766,0.091
68,0.7234,4,Presidente Lucena,0.59,0.786,0.859,0.626,0.327
69,0.661,4,Boracia,0.59,0.606,0.888,0.897,0.317
70,0.5328,4,Araraquara,0.59,0.441,0.803,0.984,0.176
71,0.515,4,Flornia,0.59,0.523,0.717,0.749,0.095
72,0.5334,4,Tupi Paulista,0.589,0.648,0.611,0.867,0.149
73,0.5278,4,Dumont,0.589,0.608,0.628,0.967,0.167
74,0.5662,4,Engenheiro Beltro,0.589,0.568,0.783,0.62,0.129
75,0.6034,4,Jandus,0.588,0.538,0.89,0.557,0.161
76,0.5524,4,Novais,0.588,0.594,0.695,0.902,0.184
77,0.4992,4,Cambuquira,0.588,0.586,0.617,0.802,0.09
78,0.522,4,Nova Ftima,0.588,0.586,0.668,0.731,0.102
79,0.4748,4,Caic,0.588,0.465,0.687,0.841,0.07
80,0.4748,4,Conselheiro Mairinck,0.588,0.555,0.614,0.707,0.036
81,0.4946,4,Muria,0.587,0.547,0.632,0.915,0.115
82,0.4572,4,Nilpolis,0.587,0.506,0.598,0.957,0.078
83,0.5506,4,Itirapu,0.586,0.711,0.581,0.843,0.169
84,0.5736,4,So Jorge do Iva,0.586,0.537,0.795,0.864,0.204
85,0.5126,4,Blsamo,0.586,0.58,0.632,0.916,0.139
86,0.5584,4,Doutor Camargo,0.586,0.558,0.774,0.644,0.128
87,0.554,4,Campos do Jordo,0.586,0.586,0.706,0.887,0.186
88,0.469,4,Mar de Espanha,0.586,0.556,0.578,0.886,0.077
89,0.5186,4,Valena,0.585,0.527,0.707,0.821,0.125
90,0.509,4,Porecatu,0.584,0.495,0.709,0.917,0.137
91,0.5396,4,Junqueirpolis,0.584,0.612,0.652,0.89,0.17
92,0.4718,4,Par de Minas,0.584,0.481,0.65,0.944,0.097
93,0.5304,4,Lajes,0.584,0.531,0.739,0.705,0.112
94,0.5174,4,Cricima,0.583,0.498,0.729,0.85,0.133
95,0.4898,4,Acari,0.583,0.531,0.644,0.855,0.099
96,0.5168,4,Tiradentes,0.582,0.583,0.645,0.829,0.128
97,0.4792,4,Lavras,0.582,0.454,0.689,0.945,0.11
98,0.4918,4,Itanhandu,0.582,0.471,0.7,0.907,0.117
99,0.472,4,Bicas,0.582,0.524,0.606,0.938,0.1
100,0.5984,4,Luprcio,0.581,0.546,0.822,0.915,0.256
101,0.552,4,Pradpolis,0.581,0.55,0.729,0.933,0.202
102,0.615,4,Kalor,0.581,0.593,0.851,0.559,0.187
103,0.4934,4,Lima Duarte,0.581,0.583,0.605,0.795,0.091
104,0.518,4,Pedro Velho,0.581,0.571,0.68,0.66,0.088
105,0.4904,4,Sobradinho,0.581,0.583,0.592,0.853,0.102
106,0.5758,4,Fernando Prestes,0.58,0.573,0.758,0.864,0.217
107,0.5712,4,Mirassolndia,0.58,0.666,0.665,0.802,0.194
108,0.507,4,Brodowski,0.58,0.526,0.664,0.967,0.155
109,0.507,4,Bernardino de Campos,0.58,0.477,0.72,0.914,0.141
110,0.466,4,Campina Grande,0.58,0.459,0.663,0.907,0.086
111,0.568,4,Ita,0.58,0.548,0.805,0.58,0.134
112,0.5176,4,Roseira,0.579,0.534,0.68,0.932,0.16
113,0.5252,4,Rinco,0.579,0.532,0.702,0.884,0.158
114,0.6768,4,Confins,0.578,0.739,0.806,0.651,0.294
115,0.5562,4,Nova Aliana,0.578,0.618,0.674,0.871,0.197
116,0.5066,4,Terra Nova,0.578,0.551,0.668,0.73,0.095
117,0.5632,4,Maravilha,0.578,0.517,0.823,0.601,0.136
118,0.4996,4,Passa e Fica,0.578,0.534,0.667,0.767,0.096
119,0.4906,4,Auriflama,0.578,0.598,0.569,0.898,0.119
120,0.5496,4,Santa F do Sul,0.577,0.527,0.742,0.956,0.21
121,0.5246,4,Nova Europa,0.577,0.541,0.682,0.955,0.177
122,0.526,4,Sobral,0.577,0.501,0.739,0.838,0.15
123,0.591,4,Mendes,0.577,0.588,0.793,0.676,0.193
124,0.5854,4,Gravatal,0.577,0.562,0.827,0.536,0.149
125,0.475,4,Piquete,0.577,0.583,0.558,0.872,0.093
126,0.4758,4,Mira,0.577,0.581,0.563,0.858,0.091
127,0.5052,4,Ribeirpolis,0.577,0.531,0.686,0.716,0.092
128,0.5272,4,Ituverava,0.576,0.508,0.716,0.972,0.188
129,0.539,4,Florianpolis,0.576,0.504,0.762,0.819,0.163
130,0.5412,4,Santana do So Francisco,0.576,0.528,0.771,0.592,0.108
131,0.4596,4,Montes Claros,0.576,0.484,0.621,0.922,0.088
132,0.581,4,Carmo,0.575,0.623,0.718,0.837,0.223
133,0.5452,4,Sertanpolis,0.575,0.573,0.714,0.74,0.152
134,0.5318,4,Cruzeiro do Oeste,0.575,0.658,0.608,0.709,0.127
135,0.5244,4,Ribeiro Vermelho,0.575,0.604,0.62,0.925,0.174
136,0.4752,4,Barroso,0.575,0.541,0.59,0.942,0.114
137,0.5426,4,Rondon,0.575,0.537,0.747,0.72,0.145
138,0.5116,4,Cruzeta,0.575,0.534,0.691,0.732,0.108
139,0.5998,4,Alvinlndia,0.574,0.588,0.777,0.912,0.269
140,0.5118,4,Aparecida,0.574,0.489,0.705,0.973,0.171
141,0.4832,4,Penpolis,0.574,0.498,0.645,0.956,0.13
142,0.4798,4,Jales,0.574,0.485,0.654,0.939,0.121
143,0.5918,4,Rodolfo Fernandes,0.573,0.546,0.842,0.613,0.183
144,0.4966,4,Avanhandava,0.573,0.519,0.65,0.944,0.145
145,0.483,4,Mato,0.573,0.457,0.682,0.981,0.137
146,0.547,4,Retirolndia,0.573,0.611,0.708,0.507,0.097
147,0.4992,4,Tabatinga,0.573,0.557,0.622,0.899,0.138
148,0.5394,4,Marcelino Vieira,0.573,0.557,0.745,0.528,0.093
149,0.545,4,Equador,0.573,0.592,0.702,0.667,0.137
150,0.4784,4,Borda da Mata,0.573,0.613,0.536,0.835,0.094
151,0.4494,4,Patos,0.573,0.526,0.559,0.913,0.077
152,0.4764,4,Pau dos Ferros,0.573,0.53,0.625,0.759,0.072
153,0.5246,4,Miracema,0.572,0.488,0.738,0.897,0.171
154,0.5506,4,Antnio Gonalves,0.572,0.51,0.821,0.459,0.091
155,0.513,4,Cidade Gacha,0.572,0.529,0.686,0.815,0.135
156,0.5048,4,Tombos,0.572,0.614,0.59,0.782,0.116
157,0.4804,4,Passa Quatro,0.572,0.585,0.564,0.856,0.104
158,0.4692,4,Parelhas,0.572,0.526,0.607,0.818,0.08
159,0.6182,4,Vila Flor,0.571,0.725,0.707,0.636,0.227
160,0.582,4,So Pedro do Turvo,0.571,0.62,0.733,0.729,0.204
161,0.519,4,Piratininga,0.571,0.58,0.644,0.827,0.147
162,0.5662,4,Lontras,0.571,0.574,0.771,0.568,0.141
163,0.5112,4,Irapu,0.571,0.519,0.682,0.888,0.154
164,0.564,4,Ars,0.571,0.61,0.728,0.588,0.144
165,0.4926,4,Crato,0.571,0.527,0.667,0.68,0.075
166,0.5472,4,Piacatu,0.57,0.573,0.691,0.916,0.208
167,0.5816,4,Timb,0.57,0.565,0.796,0.657,0.186
168,0.4932,4,Pindorama,0.57,0.568,0.593,0.937,0.144
169,0.496,4,So Domingos,0.57,0.571,0.619,0.756,0.1
170,0.523,4,Brejo Santo,0.57,0.515,0.735,0.676,0.115
171,0.4914,4,Timbaba,0.57,0.545,0.64,0.725,0.087
172,0.6426,4,Platina,0.569,0.623,0.83,0.813,0.307
173,0.599,4,Mendona,0.569,0.541,0.826,0.854,0.261
174,0.5912,4,So Pedro de Alcntara,0.569,0.566,0.829,0.528,0.166
175,0.5402,4,Rafard,0.569,0.67,0.577,0.938,0.207
176,0.5298,4,Marau,0.569,0.525,0.725,0.773,0.149
177,0.571,4,Pinhalzinho,0.569,0.53,0.822,0.571,0.151
178,0.4676,4,Jataizinho,0.569,0.55,0.567,0.903,0.104
179,0.452,4,Pitangui,0.569,0.536,0.557,0.869,0.074
180,0.5636,4,So Joo Batista do Glria,0.568,0.619,0.68,0.868,0.22
181,0.5712,4,Porteiras,0.568,0.542,0.831,0.407,0.11
182,0.4764,4,Perdes,0.568,0.569,0.565,0.897,0.114
183,0.4466,4,So Joo Nepomuceno,0.568,0.262,0.814,0.917,0.081
184,0.5476,4,Morro Agudo,0.567,0.582,0.676,0.947,0.222
185,0.5334,4,Guapor,0.567,0.5,0.751,0.802,0.165
186,0.5088,4,Maring,0.567,0.413,0.78,0.895,0.158
187,0.5012,4,Gara,0.567,0.514,0.661,0.926,0.156
188,0.5148,4,Vrzea do Poo,0.567,0.53,0.71,0.626,0.094
189,0.4692,4,Piumhi,0.567,0.547,0.571,0.911,0.11
190,0.612,4,Nossa Senhora dos Remdios,0.567,0.558,0.911,0.244,0.122
191,0.5046,4,Santa Cruz da Vitria,0.567,0.562,0.64,0.765,0.119
192,0.499,4,Nova Cruz,0.567,0.543,0.675,0.568,0.059
193,0.4708,4,Abreu e Lima,0.567,0.522,0.622,0.732,0.066
194,0.7606,4,Trabiju,0.566,0.964,0.691,0.919,0.493
195,0.5216,4,Jaguapit,0.566,0.546,0.675,0.858,0.166
196,0.4768,4,Dracena,0.566,0.446,0.681,0.945,0.13
197,0.498,4,Urups,0.566,0.567,0.604,0.905,0.148
198,0.4464,4,Currais Novos,0.566,0.393,0.689,0.86,0.068
199,0.4696,4,Juazeiro do Norte,0.566,0.435,0.706,0.738,0.066
200,0.444,4,Leopoldina,0.566,0.471,0.604,0.876,0.07
201,0.6092,4,Marip de Minas,0.565,0.785,0.611,0.752,0.254
202,0.5628,4,Vassouras,0.565,0.61,0.702,0.738,0.19
203,0.5286,4,Cocal do Sul,0.565,0.578,0.664,0.788,0.159
204,0.5202,4,Clementina,0.564,0.558,0.646,0.957,0.193
205,0.5112,4,Cerquilho,0.564,0.426,0.761,0.959,0.182
206,0.5314,4,Trs Fronteiras,0.564,0.573,0.664,0.858,0.183
207,0.4908,4,Pirassununga,0.564,0.456,0.695,0.945,0.152
208,0.4474,4,Palmares Paulista,0.564,0.563,0.505,0.971,0.101
209,0.51,4,Itaitinga,0.564,0.562,0.666,0.628,0.094
210,0.5228,4,Jlio Mesquita,0.563,0.619,0.591,0.939,0.194
211,0.6154,4,Olho-d'gua do Borges,0.563,0.675,0.765,0.49,0.197
212,0.5482,4,Pacoti,0.563,0.559,0.754,0.514,0.115
213,0.457,4,Matozinhos,0.563,0.544,0.556,0.859,0.085
214,0.4486,4,Bom Despacho,0.563,0.359,0.717,0.922,0.091
215,0.6876,4,Cndido Rodrigues,0.562,0.801,0.722,0.868,0.392
216,0.5958,4,Natividade,0.562,0.56,0.801,0.81,0.257
217,0.5334,4,Potirendaba,0.562,0.555,0.677,0.919,0.203
218,0.5114,4,Catanduva,0.562,0.482,0.701,0.982,0.191
219,0.6272,4,Iguarau,0.562,0.592,0.852,0.617,0.248
220,0.526,4,Volta Grande,0.562,0.645,0.59,0.792,0.16
221,0.503,4,Campo Mouro,0.562,0.462,0.724,0.84,0.143
222,0.5158,4,Vera Cruz,0.562,0.52,0.718,0.626,0.103
223,0.471,4,Itaporanga,0.562,0.577,0.568,0.704,0.065
224,0.7028,4,Viosa,0.561,0.622,0.928,0.865,0.414
225,0.5786,4,Guatapar,0.561,0.536,0.788,0.84,0.245
226,0.5586,4,Aramina,0.561,0.666,0.61,0.926,0.241
227,0.5452,4,So Jos do Serid,0.561,0.546,0.726,0.769,0.182
228,0.5662,4,Cabedelo,0.561,0.664,0.656,0.698,0.191
229,0.5088,4,Palmeira d'Oeste,0.561,0.536,0.668,0.778,0.136
230,0.4682,4,Paranava,0.561,0.487,0.628,0.889,0.111
231,0.5266,4,Rodeio,0.561,0.58,0.677,0.627,0.119
232,0.4486,4,Cachoeiro de Itapemirim,0.561,0.4,0.674,0.924,0.095
233,0.4752,4,Pedreira,0.561,0.412,0.705,0.97,0.142
234,0.5264,4,Ipiranga do Piau,0.561,0.536,0.74,0.477,0.08
235,0.5652,4,Iacanga,0.56,0.538,0.756,0.88,0.238
236,0.5504,4,Cedral,0.56,0.564,0.709,0.832,0.206
237,0.5486,4,Itajobi,0.56,0.619,0.649,0.843,0.207
238,0.4946,4,Oriente,0.56,0.565,0.592,0.93,0.159
239,0.4958,4,Terra Roxa,0.56,0.562,0.598,0.924,0.159
240,0.4814,4,Igaratinga,0.56,0.596,0.552,0.816,0.111
241,0.4814,4,Prudente de Morais,0.56,0.615,0.544,0.734,0.089
242,0.4718,4,Jacutinga,0.56,0.472,0.65,0.876,0.115
243,0.479,4,Camaragibe,0.56,0.522,0.642,0.658,0.067
244,0.607,4,Glicrio,0.559,0.646,0.738,0.775,0.267
245,0.6332,4,Brao do Trombudo,0.559,0.596,0.867,0.542,0.24
246,0.575,4,Porcincula,0.559,0.553,0.772,0.775,0.225
247,0.54,4,Governador Celso Ramos,0.559,0.566,0.709,0.665,0.15
248,0.4714,4,Macarani,0.559,0.494,0.635,0.813,0.099
249,0.4426,4,Pacatuba,0.559,0.469,0.604,0.839,0.067
250,0.5036,4,Ferreiros,0.559,0.547,0.656,0.702,0.112
251,0.4882,4,Tenente Ananias,0.559,0.54,0.653,0.563,0.055
252,0.5228,4,Santa Gertrudes,0.558,0.643,0.557,0.985,0.214
253,0.5092,4,Ibirau,0.558,0.61,0.584,0.842,0.158
254,0.5544,4,Armazm,0.558,0.525,0.803,0.459,0.116
255,0.5116,4,Riachuelo,0.558,0.542,0.669,0.747,0.136
256,0.4664,4,Assis,0.558,0.354,0.744,0.972,0.136
257,0.4728,4,Birigui,0.558,0.379,0.731,0.97,0.144
258,0.479,4,Macaparana,0.558,0.539,0.617,0.711,0.083
259,0.6194,4,Santana do Serid,0.557,0.631,0.784,0.697,0.267
260,0.5074,4,Palmital,0.557,0.48,0.7,0.919,0.177
261,0.5132,4,Ouro Branco,0.557,0.497,0.696,0.897,0.18
262,0.5298,4,gua Branca,0.557,0.59,0.675,0.586,0.119
263,0.4672,4,Santa Ins,0.557,0.587,0.534,0.804,0.094
264,0.5664,4,Nova Veneza,0.556,0.563,0.758,0.666,0.19
265,0.5204,4,Jussari,0.556,0.532,0.691,0.767,0.156
266,0.5064,4,Joo Neiva,0.556,0.545,0.638,0.873,0.166
267,0.4926,4,Amparo,0.556,0.478,0.678,0.886,0.151
268,0.5062,4,Itagimirim,0.556,0.632,0.559,0.811,0.149
269,0.4342,4,Ibirit,0.556,0.581,0.463,0.923,0.083
270,0.483,4,Arceburgo,0.556,0.554,0.586,0.874,0.135
271,0.5548,4,Presidente Mdici,0.556,0.541,0.786,0.46,0.12
272,0.44,4,Cruzlia,0.556,0.518,0.54,0.9,0.084
273,0.451,4,Rio Novo,0.556,0.592,0.492,0.853,0.087
274,0.4528,4,Guaransia,0.556,0.543,0.538,0.902,0.102
275,0.462,4,So Cristvo,0.556,0.531,0.601,0.648,0.046
276,0.4476,4,Bandeirantes,0.556,0.434,0.641,0.873,0.088
277,0.5002,4,Demerval Lobo,0.556,0.536,0.689,0.473,0.051
278,0.6104,4,Emilianpolis,0.555,0.566,0.811,0.848,0.298
279,0.4868,4,Bastos,0.555,0.553,0.594,0.872,0.14
280,0.4984,4,Almadina,0.555,0.645,0.538,0.757,0.126
281,0.5496,4,So Jos do Cedro,0.555,0.52,0.789,0.518,0.13
282,0.5678,4,Funilndia,0.555,0.651,0.677,0.625,0.183
283,0.4714,4,Bariri,0.555,0.392,0.716,0.951,0.141
284,0.5214,4,Florestpolis,0.555,0.525,0.716,0.64,0.125
285,0.485,4,Igarapava,0.555,0.452,0.682,0.942,0.157
286,0.4546,4,Dores do Indai,0.555,0.545,0.538,0.909,0.107
287,0.5418,4,Milagres,0.555,0.571,0.742,0.383,0.083
288,0.5066,4,Caiara,0.555,0.538,0.674,0.654,0.109
289,0.464,4,Conceio dos Ouros,0.555,0.587,0.523,0.831,0.1
290,0.5458,4,Benedito Novo,0.555,0.532,0.776,0.471,0.113
291,0.46,4,Belm,0.555,0.544,0.56,0.82,0.092
292,0.512,4,Americana,0.554,0.425,0.752,0.986,0.206
293,0.5972,4,Santa Rosa de Lima,0.554,0.554,0.827,0.627,0.224
294,0.5868,4,General Maynard,0.554,0.565,0.787,0.698,0.23
295,0.4962,4,Baro de Monte Alto,0.554,0.561,0.613,0.795,0.133
296,0.48,4,Ponte Nova,0.554,0.558,0.574,0.885,0.136
297,0.5444,4,Pindar-Mirim,0.554,0.546,0.76,0.465,0.11
298,0.531,4,Itapeva,0.554,0.627,0.623,0.698,0.155
299,0.4902,4,Tabapu,0.554,0.49,0.654,0.932,0.163
300,0.5126,4,So Miguel do Oeste,0.554,0.501,0.723,0.641,0.115
301,0.4904,4,Itaparica,0.554,0.534,0.643,0.687,0.098
302,0.6448,4,Munhoz de Melo,0.553,0.59,0.888,0.554,0.268
303,0.653,4,Santo Antnio do Aracangu,0.553,0.715,0.747,0.783,0.341
304,0.5982,4,Indiapor,0.553,0.535,0.816,0.86,0.289
305,0.5198,4,Pompia,0.553,0.549,0.648,0.937,0.205
306,0.5344,4,Atlio Vivacqua,0.553,0.633,0.618,0.734,0.17
307,0.5588,4,Casca,0.553,0.585,0.725,0.628,0.174
308,0.5694,4,Muum,0.553,0.57,0.755,0.657,0.197
309,0.4516,4,Nova Granada,0.553,0.453,0.622,0.913,0.108
310,0.4912,4,Itap,0.553,0.567,0.61,0.694,0.102
311,0.495,4,Santo Antnio,0.553,0.576,0.623,0.577,0.077
312,0.6566,4,Nova Aurora,0.552,0.628,0.862,0.617,0.303
313,0.5272,4,Estrela d'Oeste,0.552,0.508,0.715,0.838,0.19
314,0.4948,4,Itatiba,0.552,0.421,0.734,0.904,0.164
315,0.481,4,Malta,0.552,0.537,0.604,0.818,0.123
316,0.5462,4,Goianinha,0.552,0.589,0.697,0.624,0.159
317,0.5064,4,Carnaba dos Dantas,0.552,0.509,0.706,0.612,0.102
318,0.483,4,Maruim,0.552,0.63,0.523,0.755,0.109
319,0.44,4,Campo Belo,0.552,0.549,0.5,0.943,0.102
320,0.4722,4,Caetanpolis,0.552,0.563,0.57,0.758,0.095
321,0.4678,4,Congonhal,0.552,0.721,0.406,0.741,0.085
322,0.4596,4,So Gonalo do Par,0.552,0.639,0.459,0.843,0.102
323,0.48,4,Parnamirim,0.552,0.473,0.686,0.667,0.082
324,0.5922,4,Anhumas,0.551,0.553,0.79,0.827,0.275
325,0.5072,4,Tiet,0.551,0.386,0.789,0.921,0.186
326,0.5246,4,Jaci,0.551,0.577,0.635,0.878,0.199
327,0.4484,4,So Joaquim da Barra,0.551,0.438,0.621,0.98,0.124
328,0.46,4,Mococa,0.551,0.329,0.759,0.921,0.124
329,0.505,4,Picu,0.551,0.623,0.58,0.676,0.119
330,0.462,4,Itaperuna,0.551,0.434,0.661,0.895,0.12
331,0.4544,4,Carangola,0.551,0.467,0.627,0.798,0.084
332,0.4578,4,Santa Luzia,0.551,0.555,0.535,0.874,0.109
333,0.4794,4,Ibicu,0.551,0.571,0.584,0.682,0.087
334,0.6076,4,Taquaral,0.55,0.624,0.73,0.953,0.33
335,0.4958,4,Trs Marias,0.55,0.552,0.607,0.878,0.161
336,0.5644,4,Messias Targino,0.55,0.578,0.753,0.532,0.16
337,0.5526,4,Itapiranga,0.55,0.526,0.768,0.646,0.175
338,0.5464,4,Presidente Getlio,0.55,0.517,0.776,0.569,0.146
339,0.471,4,Duartina,0.55,0.507,0.603,0.903,0.135
340,0.5414,4,Ibirama,0.55,0.546,0.733,0.603,0.149
341,0.4776,4,Joo Pessoa,0.55,0.52,0.61,0.842,0.128
342,0.5344,4,Itatim,0.55,0.557,0.718,0.534,0.122
343,0.4552,4,Itapitanga,0.55,0.492,0.605,0.781,0.082
344,0.434,4,Nossa Senhora do Socorro,0.55,0.524,0.531,0.804,0.06
345,0.4918,4,Massap,0.55,0.451,0.742,0.563,0.073
346,0.489,4,Mandaguari,0.549,0.413,0.744,0.792,0.131
347,0.538,4,Arroio do Meio,0.549,0.378,0.888,0.646,0.158
348,0.4792,4,Aracaju,0.549,0.481,0.644,0.897,0.146
349,0.5222,4,Guaraa,0.549,0.549,0.664,0.825,0.185
350,0.5408,4,Palmcia,0.549,0.568,0.74,0.375,0.088
351,0.48,4,So Jos do Egito,0.549,0.546,0.612,0.661,0.084
352,0.5074,4,Guaiba,0.549,0.544,0.678,0.557,0.093
353,0.507,4,Monte Alegre,0.549,0.528,0.697,0.529,0.085
354,0.5454,4,Farias Brito,0.549,0.562,0.745,0.439,0.113
355,0.4876,4,Turmalina,0.549,0.565,0.603,0.689,0.102
356,0.4492,4,Gravat,0.549,0.494,0.593,0.768,0.072
357,0.5242,4,Resende,0.548,0.524,0.675,0.954,0.223
358,0.4914,4,Santa Ernestina,0.548,0.573,0.568,0.939,0.175
359,0.5038,4,Ipu,0.548,0.502,0.659,0.959,0.197
360,0.5232,4,Lindia,0.548,0.594,0.613,0.876,0.202
361,0.563,4,Natalndia,0.548,0.582,0.725,0.674,0.201
362,0.5564,4,Itaiaba,0.548,0.683,0.643,0.448,0.13
363,0.4654,4,Guararapes,0.548,0.298,0.796,0.934,0.139
364,0.5458,4,Saudades,0.548,0.559,0.738,0.516,0.135
365,0.5386,4,Baa Formosa,0.548,0.553,0.717,0.617,0.153
366,0.4726,4,Satuba,0.548,0.584,0.548,0.748,0.099
367,0.4386,4,Bebedouro,0.548,0.335,0.706,0.96,0.111
368,0.51,4,Campos Sales,0.548,0.531,0.701,0.512,0.086
369,0.488,4,Picos,0.548,0.551,0.619,0.674,0.1
370,0.435,4,Visconde do Rio Branco,0.548,0.414,0.633,0.868,0.081
371,0.42,4,Lagoa da Prata,0.548,0.358,0.649,0.96,0.086
372,0.4478,4,Itoror,0.547,0.497,0.582,0.801,0.081
373,0.4966,4,Sarapu,0.547,0.567,0.609,0.738,0.131
374,0.4854,4,Maribondo,0.547,0.541,0.622,0.686,0.101
375,0.5018,4,Presidente Dutra,0.547,0.595,0.61,0.595,0.099
376,0.4132,4,Mesquita,0.547,0.421,0.578,0.925,0.068
377,0.5184,4,Martins,0.547,0.604,0.648,0.469,0.088
378,0.564,4,Rancho Alegre,0.546,0.604,0.713,0.607,0.186
379,0.4906,4,Poos de Caldas,0.546,0.372,0.761,0.978,0.187
380,0.4986,4,Potiragu,0.546,0.56,0.606,0.842,0.161
381,0.5504,4,Penaforte,0.546,0.596,0.688,0.664,0.184
382,0.4792,4,Nova Odessa,0.546,0.437,0.675,0.977,0.172
383,0.5766,4,Para,0.546,0.558,0.773,0.67,0.221
384,0.5216,4,Quintana,0.546,0.587,0.609,0.927,0.216
385,0.5342,4,Xaxim,0.546,0.546,0.72,0.58,0.139
386,0.523,4,Frei Paulo,0.546,0.551,0.693,0.588,0.127
387,0.4684,4,Barra do Pira,0.546,0.457,0.659,0.801,0.11
388,0.4676,4,Catigu,0.546,0.583,0.515,0.921,0.142
389,0.4636,4,Campanha,0.546,0.585,0.519,0.823,0.11
